Call_ID,Transcript,Extracted_Event,Location,Sentiment,Urgency_Score
C039,"Hello, I'm going down to the back one with my baby. Okay, where are you?",Missing person / abduction,Ohio,Concerned,0.56
C040,all night long. Let alone one one in the future. Perhaps one in this early winter camp.,Water emergency / drowning,Minnesota,Concerned,0.59
C041,The address is 1160 Ray Road. We have a baby missing out of a crib.,Missing person / abduction,"Spring Lake, North Carolina",Concerned,0.56
C042,"See, uh, Bartlett was breaking into a house next door. What's the address there, sir? 74.",Burglary / robbery / intruder,Texas,Concerned,0.47
C043,I think it's an Indian director after the period during the current purple winter space after he took down or something. I don't know.,Medical emergency,"Morristown, Tennessee",Concerned,0.53
C044,"Hello, my Royal One.",Shooting / gun violence,"Omaha, Nebraska",Concerned,0.63
C045,I don't know if the gun cannot wait.,Threat / suspicious activity,"Hernando County, Florida",Concerned,0.45
C046,"Yes, this guy is following us with shotgun and he's trying to run us off the road. We're standing up.",Shooting / gun violence,Colorado,Concerned,0.63
C047,"Hey, let's go on a cross street from the new Deaf Trail, you know, people in jail. Go go go.",Medical emergency,"a cross street, Florida",Concerned,0.53
C048,"Please. You just have further to get that breath. Give me address first, ma'am. Now.",Medical emergency,California,Concerned,0.53
C049,What's going on man?,Homicide / death investigation,Texas,Distressed,0.66
C050,I think I'm also going to follow me all because somebody thinks she's a finger and can't drive all straight.,Traffic collision,Wisconsin,Concerned,0.49
C051,and we found air cream just went down awesome in Corona. An airplane.,Traffic collision,"Corona, California",Concerned,0.49
C052,"I'm gonna be able to go jump down the road and jump, and I'm gonna cry. At the end of the car, I can't hear you.",Rescue / person trapped,Pennsylvania,Concerned,0.55
C053,"Yes, she's a bitch. Because she wanted to know me. I don't know where you are.",Missing person / abduction,Texas,Concerned,0.56
C054,"There's a killing over here, pardon? And what's going...",Shooting / gun violence,California,Concerned,0.63
C055,"Hey, I just thought of God fired two shots after...",Traffic collision,North Carolina,Concerned,0.49
C056,"Okay, I got a female shot, one set in a 831, some avenue apartment.",Shooting / gun violence,Florida,Concerned,0.63
C057,Hello sir. Yeah. Did you dial 911 a little while ago?,Threat / suspicious activity,Connecticut,Concerned,0.45
C058,"Yeah, for me. I'm glad you're here. How's what's going on? What's going on? I want to put my vehicle ahead of me.",Public safety / unusual incident,Arizona,Calm,0.27
C059,"Yeah, we just I need a report. Okay, nothing we can't nothing what happened",Missing person / abduction,California,Concerned,0.56
C060,"Hi, I called a little guy, I believe I talked to you, Stacy.",Homicide / death investigation,Wisconsin,Distressed,0.66
C061,I'm working.,Shooting / gun violence,"Warren County, New York",Concerned,0.63
C062,"Yes, ma'am. Any somebody that come to Penicryklandin? Okay.",Water emergency / drowning,"Charleston County, South Carolina",Concerned,0.59
C063,My name is Mary Lyons. I'm the banking center manager at Bank of America at 185 Highland,Homicide / death investigation,"185 Highland, Connecticut",Distressed,0.66
C064,"You mean somebody can still ask it on my mom? Yeah, I don't even, she just pulled out.",Stabbing / assault,Arizona,Concerned,0.59
C065,This is the hospital at where am I at? I'm at dog,Shooting / gun violence,Maryland,Concerned,0.63
C066,The Old North Shore Road and my husband's been at Skye Bear.,Animal attack,"Lake Wenatchee, Washington",Concerned,0.49
C067,"Somebody, somebody just pulled up and saw our shoe, and they left us shot by two pieces. Okay, we're getting some up.",Shooting / gun violence,Florida,Concerned,0.63
C068,"Oh my gosh, the flag. Hello? You're up at where inside.",Building fire,Ohio,Concerned,0.59
C069,on 21st Street. This is Tony Guzman on the staffer and he was overhead towards,Shooting / gun violence,"21st Street, Texas",Concerned,0.63
C070,"High, a little airplane, a little one engineer plane took off on the airport at 83rd Street in Kress.",Traffic collision,"the airport at 83rd Street, Illinois",Concerned,0.49
C071,"I'm sorry. I'm sorry. I'm sorry. I'm sorry. Get out of order. Things? Yes, ma'am.",Missing person / abduction,"Hickory, North Carolina",Concerned,0.56
C072,"and they can. Okay, what do you need to play?",Homicide / death investigation,Louisiana,Distressed,0.66
C073,"Yes, I need to please, please, at my house. Flatt us. I think we need an ambulance.",Homicide / death investigation,Utah,Distressed,0.66
C074,Okay. We need a person back in the meat department to get out of the meat.,Shooting / gun violence,Iowa,Concerned,0.63
C075,What do you need? You need the police? You need the police.,Medical emergency,"Barnstable County, Massachusetts",Concerned,0.53
C076,"Somebody go into my house, there's a house there. What's your address? Yeah, but...",Burglary / robbery / intruder,Washington,Concerned,0.47
C077,We just got a lot of to come apart. I'm making it with a gun. Shot one of our employees. And uh...,Shooting / gun violence,North Carolina,Distressed,0.65
C078,My dad is fell in the floor and his visor is in,Building fire,"Henderson County, North Carolina",Concerned,0.59
C079,"Oh, my mom's actually doctor. You're not at the doctor. Are you there alone?",Rescue / person trapped,"Volusia County, Florida",Concerned,0.55
C080,I'm not going to want to miss that show right up. I'm going to take a look and I'm going to wipe them.,Public safety / unusual incident,"Orange County, California",Calm,0.27
C081,"Oh, that's a thing. I'm assuming. Who's been shot, man? I'll be right.",Homicide / death investigation,Florida,Distressed,0.66
C082,one.,Traffic collision,Indiana,Concerned,0.49
C083,This is the book will be a bank of 1302 with the I should have seen my clothes on. We're being robbed.,Burglary / robbery / intruder,"Volusia County, Florida",Concerned,0.47
C084,"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh",Stabbing / assault,Wisconsin,Concerned,0.59
C085,"Yes, we're at the Nelson building and there's some men here with the dogs to do the same into the board meeting. Okay, you're at the...",Shooting / gun violence,Florida,Concerned,0.63
C086,"Listen, will we be in the room? Okay, so come on, pass my seatbelt. You gotta attack my seatbelt.",Domestic disturbance,Connecticut,Concerned,0.42
C087,See? Thank you.,Domestic disturbance,Connecticut,Concerned,0.42
C088,"I'm locked in the field, I don't know if I can't. You're walking in the field, okay, I need to just stop, okay, I'm gonna try to decide.",Rescue / person trapped,"Green Lake County, Wisconsin",Concerned,0.55
C089,"I'm going to get the emergency. Somebody just set the police up at the... I'll put the address, ma'am.",Shooting / gun violence,"Orange County, California",Concerned,0.63
C090,I've got to almost a wee shot down here. I'll put on...,Shooting / gun violence,"Orange County, California",Concerned,0.63
C091,"If you're out to the big county, we'll go to the fort.",Shooting / gun violence,"Orange County, California",Concerned,0.63
C092,"Yes, there's two subs here that's being on the ground. Okay, he just got stopped.",Shooting / gun violence,"Orange County, California",Concerned,0.63
C093,"I mean, I wait on the car, there's a wire turn off.",Traffic collision,Hawaii,Concerned,0.49
C094,"On the heretic, I'm heretic of police vision and a recall.",Homicide / death investigation,Ohio,Distressed,0.66
C095,"Yes, I need to please quickly, gently. So, change.",Shooting / gun violence,"Williamsburg County, South Carolina",Concerned,0.63
C096,Hello? Hello? Hello? Hello?,Homicide / death investigation,Arizona,Distressed,0.66
C097,"Um, of course, 4709, 4709. Do you want to have our energy catching pads?",Building fire,"Hyattsville, Maryland",Concerned,0.59
C098,"Hi, I need somebody escorted out of my store right away. He's causing problems.",Shooting / gun violence,California,Concerned,0.63
C099,Hello? Hello 911?,Medical emergency,Oregon,Concerned,0.53
C100,"I got three pit balls, the second people. Thank you. You're attacking kids? Yes, sir.",Animal attack,"Arizona City, Arizona",Concerned,0.49
C101,"Hey, um, they just broke into my house. They had guns. They told us to just be on the floor. There's pounds in my...",Burglary / robbery / intruder,Florida,Concerned,0.47
C102,"Um, I took some pills and I'm the pills when I made my mad mom.",Homicide / death investigation,"Catawba County, North Carolina",Distressed,0.66
C103,"Alright, well the thing is, I was just playing with my buddy. You were sliding? Slide.",Traffic collision,"Lafayette, Indiana",Concerned,0.49
C104,"There's somebody who's a guy at home alone and he's talking to my daughter, she's Anybody here quick?",Rescue / person trapped,"Hialeah, Florida",Concerned,0.55
C105,My house is on fire. I don't know how to sleep in and I'll go home and do them and I'll go home.,Building fire,Iowa,Concerned,0.59
C106,"Hi, my name is Maria. I'm calling because my teacher, Mr. Haines,",Public safety / unusual incident,California,Calm,0.27
C107,"Yes, I have a gun and I don't swim out like I loaded and some of the shots.",Shooting / gun violence,Florida,Concerned,0.63
C108,"I have a friend who's been drinking, I've been trying to call him since, and today he is now loading several weapons in a box.",Homicide / death investigation,South Carolina,Distressed,0.66
C109,"I need police at, uh, with a heck of a 291 water town street immediately. We just said bullet.",Shooting / gun violence,Massachusetts,Concerned,0.63
C110,I'm not sure my friend has called and basically told me she's going to kill herself and I can probably will.,Building fire,"Provo, Utah",Concerned,0.59
C111,What's the address? 750 south of Tippie West.,Building fire,"Provo, Utah",Concerned,0.59
C112,emergency files. Put some locations.,Building fire,"Provo, Utah",Concerned,0.59
C113,"It's been a while, I believe I haven't made it as possible. Everyone over goes.",Medical emergency,"Georgetown, Ohio",Concerned,0.53
C114,"Yeah man, I'm up there next to the end. We're going to roll. We're going to see the gap.",Shooting / gun violence,"Athens-Clarke County, Georgia",Concerned,0.63
C115,something that's 29 and a comeback would fall just and I can bring a card just coming down the wrong lane.,Traffic collision,"Campbell County, Virginia",Concerned,0.49
C116,"I was a good woman, and I was a good woman.",Burglary / robbery / intruder,"Livingston, Michigan",Concerned,0.47
C117,Please come out here. What's your... I don't know where I dress. You're gonna have to be in the dress.,Shooting / gun violence,"Sylva, North Carolina",Concerned,0.63
C118,"What could we get out of play? No one down in my computer. A plane going down, months in part. We got out.",Traffic collision,"Monroe County, Ohio",Concerned,0.49
C119,"I saw somebody in the middle, and someone helped. What are you doing here?",Homicide / death investigation,Texas,Distressed,0.66
C120,"somebody trying to rob us who got Tigret now we're holding your doubt. Okay, what address you at?",Shooting / gun violence,"Oakland County, Michigan",Concerned,0.63
C121,"Hello? Hello, I'm floating down the river in my car. Okay, what river are you on?",Traffic collision,"Waynesville, Ohio",Concerned,0.49
C122,"Yes, I need an ambulance on my heart sound. Okay, we can't hear. We can't hear.",Medical emergency,"Ridge Manor, Florida",Concerned,0.53
C123,"with that little boy missing. Have you had any reports on one? No, I'm sure have it.",Water emergency / drowning,"Cushing, Oklahoma",Concerned,0.59
C124,"May it please help me. I'm in County Road, 96600 will be on the TV and",Threat / suspicious activity,"County Road, Texas",Concerned,0.61
C125,I'm going to be right here at the mirror. I don't need to log just my big.,Shooting / gun violence,"Miramar, Florida",Concerned,0.63
C126,"I'm not a suspect but I need to have somebody go to my brother, my house.",Homicide / death investigation,"Arlington Heights, Illinois",Distressed,0.66
C127,"Come on, run. Stay. My friend has had a better feature. Going out.",Medical emergency,"Seminole, Oklahoma",Concerned,0.53
C128,Hello? Yes. Maybe just be wrong. We're at... He's 22.,Burglary / robbery / intruder,Oklahoma,Concerned,0.47
C129,Hi friends community school I called my one on a few minutes ago we have I heard several time shots outside.,Shooting / gun violence,Florida,Concerned,0.63
C130,"Yeah, I need a name to go to 12-mark in South Reno. Okay, let's go on.",Medical emergency,"South Reno, Oklahoma",Concerned,0.53
C131,I believe it is dangerous to the cold view. That's what is the address. And not cold view.,Medical emergency,Tennessee,Concerned,0.53
C132,49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49,Burglary / robbery / intruder,"Westminster, Colorado",Concerned,0.47
C133,It's been a demolicing of a half in there. He's a woman inside and we need the one to come,Public safety / unusual incident,Georgia,Calm,0.27
C134,"I hope you. Hi, this is LaTisha from Store Big Five on Green Valley. I have a person that is robbing me.",Shooting / gun violence,"Watsonville, California",Concerned,0.63
C135,"Yes ma'am, my neighbor just ran over so it's saying so I tried to kill her in her house. I don't know what?",Traffic collision,Georgia,Concerned,0.49
C136,I don't want my dad here to bring us since he threw me in the motion when he abused me,Stabbing / assault,"Arlington Heights, Illinois",Concerned,0.59
C137,"Yeah, I got kind of like my father don't leave the little bit of head. He's 79 years old.",Building fire,"Volusia County, Florida",Concerned,0.59
C138,"Oh, my husband is up in the attic and he's not responding.",Building fire,"Volusia County, Florida",Concerned,0.59
C139,"I need to report a murder. Okay, where is that sir? 157 red scum.",Homicide / death investigation,Pennsylvania,Distressed,0.66
C140,"Yes, it's doing my bed in the back. I just don't know where you are.",Shooting / gun violence,Florida,Concerned,0.63
C141,"Hey, I told her some valley. We've got a medical a bird that's 4500.",Medical emergency,"Salt Lake City, Utah",Concerned,0.53
C142,I just got about four. I'm going to target. I'm going to three three.,Homicide / death investigation,North Carolina,Distressed,0.66
C143,"Yes, we need an ambulance. We're at Westport Shopping Center right outside.",Medical emergency,Kentucky,Concerned,0.53
C144,"Yeah! Yeah, yeah, yeah!",Shooting / gun violence,Florida,Concerned,0.63
C145,"Yes, excuse me, so I'm sending a couple of these cameras down. How would a copter came down?",Traffic collision,"South Brunswick, New Jersey",Concerned,0.49
C146,"Yes, I will helicopter just crash. A helicopter just crash? Yes, sir. Okay.",Traffic collision,"South Brunswick, New Jersey",Concerned,0.49
C147,"Good enough, Aben. Someone is running around the neighborhood shooting a gun. Okay, they're all in a car.",Homicide / death investigation,"Copley, Ohio",Distressed,0.66
C148,"Hey, where's it? Sure, Thomas, can I help you? Yeah, this is Ben, he was it.",Stabbing / assault,"Lorain County, Ohio",Concerned,0.59
C149,"of your emergency. I want to open to my office and let's find a tight face. Please come ahead. Okay, what's your address?",Missing person / abduction,"Aurora, Colorado",Concerned,0.56
C150,"Oh my god, I'm on third avenue to railroad track. Somebody just tried to jump on the train and seven for late.",Traffic collision,"third avenue, Colorado",Concerned,0.49
C151,"Ah, there's a curtain going on. Ah, we're shooting. We're shooting, we're shooting, we're shooting, we're shooting.",Shooting / gun violence,Nevada,Concerned,0.63
C152,I think this is how you are to see it.,Shooting / gun violence,North Carolina,Concerned,0.63
C153,I have just some other eye-w,Homicide / death investigation,Canada,Distressed,0.66
C154,"We're on the boat right now. Our spring says, God, they're five sharks. We're also made.",Animal attack,"A-shift Manatee County, Florida",Concerned,0.49
C155,"Yes, I got I just shot someone in my business. I'm at 59 31",Shooting / gun violence,"59 31, Washington",Concerned,0.63
C156,"We got some shootings over here in Still Beach. OK, where? It's a salon in the Meritosh.",Shooting / gun violence,"Still Beach, California",Concerned,0.63
C157,"I just hope someone 100, around 40.",Shooting / gun violence,New York,Concerned,0.63
C158,"Okay, yes, there would be a transferring searching in the city of La Criceta as her accelerator specs he kept up the vehicle.",Traffic collision,"Los Angeles County, California",Concerned,0.49
C159,"I got to report the shooting. Okay, where? Lehigh Hanson from an entity.",Shooting / gun violence,California,Concerned,0.63
C160,"We need to believe here. Okay, what's the address of the emergency? Yeah.",Shooting / gun violence,California,Concerned,0.63
C161,I want to tell you what's happening first. I just killed my wife.,Homicide / death investigation,"Elyria, New York",Distressed,0.66
C162,"What do we say? What happens? Um, something. I think what about that?",Homicide / death investigation,Idaho,Distressed,0.66
C163,We have been shot at a house and book and into we have three children and we leave somebody here now.,Shooting / gun violence,"Charleston, South Carolina",Concerned,0.63
C164,"Yes, I can get from the concert.",Stabbing / assault,Illinois,Concerned,0.59
C165,"And I'm behind a notes and wheel for VAD-U, like in plate C-E-G-A-1-4-8, and we've been all over the road.",Traffic collision,"Jacksonville, Florida",Concerned,0.49
C166,for 202-molar circle. Two men have just cost my 10th of track.,Burglary / robbery / intruder,Colorado,Concerned,0.47
C167,What city are you in?,Shooting / gun violence,"Orlando, Florida",Concerned,0.63
C168,of mine going eastbound on I-10 between LA30 and LA40. Cool.,Traffic collision,"New Orleans, Louisiana",Concerned,0.49
C169,"Yes, we'd also right now there's a man's children at the stage. We need a cop. We're at. We're at.",Homicide / death investigation,Texas,Distressed,0.66
C170,"Yes, ma'am. This is a joke. Hold on. You can read a great story. Just tell yourself.",Shooting / gun violence,"Irwindale, California",Concerned,0.63
C171,"Okay, I called this one and I already came back. Alright, so I'll be gone.",Traffic collision,"Orange County, Florida",Concerned,0.49
C172,"Yeah, I'm turning myself in for my husband, the number.",Homicide / death investigation,"Hernando County, Florida",Distressed,0.66
C173,"I'm almost pregnant in my house. Wish I'd read. Sausage 6, Sethland, May 3. Sile what?",Shooting / gun violence,"Vance County, North Carolina",Concerned,0.63
C174,"I know, I'm sorry, brother. I don't want to miss you, shut doors. I can go...",Shooting / gun violence,"Norton, Massachusetts",Concerned,0.63
C175,I am sorry I have missed middle school where the students are done to help us out please. We will call BSE Police also.,Shooting / gun violence,"Brownsville, Texas",Concerned,0.63
C176,I'm on your own with your bike train. Why was your tip by train? My train. Where are you?,Homicide / death investigation,"Stark County, Ohio",Distressed,0.66
C177,an ambulance to the south side Walmart immediately. What's going on? I have a man shot.,Shooting / gun violence,Wisconsin,Concerned,0.63
C178,"Remember to go to the office right now, and see you next time. Bye bye. You shot?",Shooting / gun violence,"Ypsilanti County, Michigan",Distressed,0.65
C179,I'm happy. I didn't do that one day and I think someone's trying to come in.,Burglary / robbery / intruder,"Valinda, California",Concerned,0.47
C180,I need a new grade bill to please I don't care. The 15 to 6 12.,Homicide / death investigation,"Romulus, Michigan",Distressed,0.66
C181,"We have a, I think we have a dead person in here. Okay. I don't know what happens.",Stabbing / assault,Illinois,Concerned,0.59
C182,I'm just the one that brought the US bank and I just need to be sure to turn myself in.,Burglary / robbery / intruder,Ohio,Concerned,0.47
C183,Why you? I'm the emergency hotline. Who are you?,Child welfare / unattended child,"Hartford, Connecticut",Concerned,0.42
C184,It's a business. I believe it's been robbed. What's the name of the business? Flying Biscuits.,Domestic disturbance,North Carolina,Concerned,0.42
C185,"What is your emergency? Hi, my name is Nikki. I'm the manager of the McDonalds. I'm very intrigued. Yeah. There's a woman here so she has a-",Shooting / gun violence,Ohio,Concerned,0.63
C186,"I think we are in the 75th, I 75th. Yes, I do.",Traffic collision,"Gainesville, Florida",Concerned,0.49
C187,Something is going on. Do you know the house number?,Shooting / gun violence,North Carolina,Concerned,0.63
C188,"One. Thank you. Blue drone. We have blue. Okay, I'm sorry you have white.",Stabbing / assault,Illinois,Concerned,0.59
C189,emergency. My focus is on the address. What's the area.,Burglary / robbery / intruder,Florida,Concerned,0.47
C190,We're going to be home. We're just like told us all about the health.,Homicide / death investigation,"Sarasota County, Florida",Distressed,0.66
C191,Have you gone? I rock somebody downtown.,Shooting / gun violence,Oregon,Concerned,0.63
C192,"Um, we have somebody. Sorry. Sorry.",Burglary / robbery / intruder,Utah,Concerned,0.47
C193,I think somebody is working in the house. We just came home from school and put our jobs on. We really scared.,Burglary / robbery / intruder,Michigan,Concerned,0.47
C194,I always offer guys my mom's on the board.,Medical emergency,Ohio,Concerned,0.53
C195,emergency. I'll just shot my wife. Can you tell me the address that you're at?,Shooting / gun violence,"Hillsborough County, Florida",Concerned,0.63
C196,I think we need to place at the Walmart Super Center on campus Kobe. That's what we got.,Shooting / gun violence,Oklahoma,Concerned,0.63
C197,"Yeah, I need to pull it with a 963 history six tree or somebody in the house of a for a blow.",Burglary / robbery / intruder,Oklahoma,Concerned,0.47
C198,I'm one 19 and counting on one we just saw a plane go down.,Traffic collision,Colorado,Concerned,0.49
C199,"I'll plain just, uh, clash. Okay, you said three miles south of Union Reservoir?",Traffic collision,Colorado,Concerned,0.49
C200,I know there's an umbrella on the TV for this look boy. Okay. And there is a young man.,Missing person / abduction,Ohio,Concerned,0.56
C201,I will just witness the collection and on the in the talk down.,Traffic collision,"Raymond, Wisconsin",Concerned,0.49
C202,There's a horrible accident on 7 mile fair in Highway 94.,Traffic collision,"7 mile fair in Highway, Wisconsin",Concerned,0.49
C203,"Hi, there was a accident. Are we just witnessed three cars just in slow motion?",Traffic collision,"Raymond, Wisconsin",Concerned,0.49
C204,I was told to call when my dad did tell whatever I had.,Traffic collision,"Oxford, Iowa",Concerned,0.49
C205,"He only found his dad's tortoises, but I don't know, I don't.",Shooting / gun violence,"Magna, Utah",Concerned,0.63
C206,Hello?,Shooting / gun violence,Washington,Concerned,0.63
C207,There has been a murder suicide. There is no survivors. Please send a phone. What's going on?,Homicide / death investigation,Michigan,Distressed,0.66
C208,"Yeah, then you gotta put these in there. What? I bet you can put these in there. Please, please.",Suicide / self-harm,"Allegan County, Michigan",Distressed,0.65
C209,"Yeah, so I'd like to report a shooting please. Okay. See you tomorrow, sir.",Shooting / gun violence,"Sunset Beach, North Carolina",Concerned,0.63
C210,"I just shot my wife. Okay, and what's your address?",Shooting / gun violence,"Mason County, Washington",Concerned,0.63
C211,He's got it out! Please! That's a good one. Please! Please!,Homicide / death investigation,Illinois,Distressed,0.66
C212,a woman came in her with a child screaming that her son had shot for her husband.,Homicide / death investigation,"Dalton, Georgia",Distressed,0.66
C213,"Hi, my girlfriend just pulled up and there's a guy that pull up and truck behind her. We think he has a gun.",Homicide / death investigation,"Jessup, Iowa",Distressed,0.66
C214,"Hi, I'm done, Chats. We're all in the forest. You do what? They think I'm Chats.",Shooting / gun violence,"Jacksonville, Florida",Concerned,0.63
C215,"I'm not crying, I'm coming in here and I'm going to be there.",Building fire,"Midwest City, Oklahoma",Concerned,0.59
C216,"Someone was murdered, I think. Where are you? I'm not sleeping, I'm not sleeping. I'm not sleeping.",Homicide / death investigation,Connecticut,Distressed,0.66
C217,"But it was good, just and my mom and my niece and my sister-in-law. What would I be sure to-",Homicide / death investigation,"Gilbert, Arizona",Distressed,0.66
C218,"I have a gun shop victim here. Okay, tell me that.",Burglary / robbery / intruder,"Todd, North Carolina",Concerned,0.47
C219,I just come in and pick it out my trash and my manager's in and out of these idiots. I've got a new...,Homicide / death investigation,Florida,Distressed,0.66
C220,to person.,Burglary / robbery / intruder,Canada,Concerned,0.47
C221,I'm going to go to the park.,Shooting / gun violence,"Brevard County, Florida",Concerned,0.63
C222,I would like state police.,Shooting / gun violence,"Bucks County, Pennsylvania",Concerned,0.63
C223,I had a guy kicking in my door or trying to kick in my front door. I don't know what his problem was,Burglary / robbery / intruder,"The Polk County, Florida",Concerned,0.47
C224,and 59 to Kathy Rases. There's been a shooting. Somebody came in and shot a bunch of people. I'm hiding in a bit after a month.,Shooting / gun violence,Washington,Distressed,0.65
C225,exit of this game coming from the beach. There's a guy that's completely naked through his clothes all over.,Stabbing / assault,Florida,Concerned,0.59
C226,there's a naked man or the MacArthur's car's ring at the end of the car's way coming towards this case.,Stabbing / assault,Florida,Concerned,0.59
C227,"So hi, I'm Maria C. I'm just a photographer. I'm my great-for-delly.",Non-emergency / misuse of 911,"East Hartford, Connecticut",Calm,0.06
C228,"I have a boy that was underwater and he's not breathing. How old is the boy? Ah, four.",Medical emergency,"Racine County, Wisconsin",Concerned,0.53
C229,Are you inside the house? Yeah. Are you alone inside the house? Yes.,Rescue / person trapped,"Hollywood, Florida",Concerned,0.55
