Call_ID,Transcript,Extracted_Event,Location,Sentiment,Urgency_Score,Extracted_Names,Urgency_Phrases,Audio_File,Event_Source,Event_Confidence,Location_Source,Location_Confidence,Sentiment_Urgency_Source,Metadata_Title,Metadata_Description
C011,"your heart is changing. I'm a little boy 7, I'm a little gay. I'm a little gay. I'm a still hangover.",Medical emergency,Texas,Concerned,0.53,Unknown,None detected,911_first6sec/call_18_0.wav,Metadata,0.79,Metadata state,0.72,Transcript + incident context,Baby not breathing,"– In Feb. 2007 a San Antonio (Tex.) family noticed their infant was not breathing and dialed 911. The call was promptly answered at the police department, but the dispatcher then transferred the call to the EMS comm center, where a recording played for 4 minutes."
C012,I don't know but you're not far enough and disappointed you guys. Let me take the left at that light.,Traffic collision,Colorado,Concerned,0.49,Unknown,None detected,911_first6sec/call_19_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Crash 911 Call – Colo.,"– In Feb. 2007 several teens stopped on a rural road and were rear-ended by another car, seriously injuring several of the teens. They dialed 911 for help and reached the Loveland Police Department, but there was confusion about their location. They had difficulty trying to describe their location. Read more"
C013,"Are you out of the house yet? No. Or I get out of the house. We can't, thank you.",Building fire,"Kensington, Maryland",Concerned,0.59,Unknown,None detected,911_first6sec/call_20_0.wav,Metadata,0.96,Metadata description,0.82,Transcript + incident context,Fire rescue 911 call-Md.,"– On February 3, 2007 firefighters rescued 5 children from a house fire at 9819 Connecticut Avenue, in Kensington (Montgomery County, Md.). Two 17 month-old girls (twins) were hospitalized in critical condition. A 12 year-old girl, 7 year-old boy, a 3 year-old girl and the twins were rescued from the second floor. The twins were found unconscious. The fire started on the first floor and the smoke alarm did activate. The oldest child, age 12 called 911 and was very composed as the Montgomery County Fire and Rescue Service (MCFRS) dispatcher provided instructions."
C014,"Yes, there's a police return. Yes, it is. They help you. Okay, I put this as ridiculous, but...",Rescue / person trapped,"Port Huron, Michigan",Concerned,0.55,Unknown,police,911_first6sec/call_21_0.wav,Metadata,0.72,Metadata description,0.82,Transcript + incident context,Carwash 911 – Mich.,"– In March 2007 Monica Hudson dialed 911 when she became trapped inside an automated car wash building on 24th St. in Port Huron (Mich.) when the machinery stalled. The dispatcher talked to her for several minutes. Finally another patron came through, pushed some buttons and the doors came open."
C015,"And 563, shall I hear a road?",Non-emergency / misuse of 911,Wisconsin,Calm,0.06,Unknown,None detected,911_first6sec/call_27_0.wav,Metadata,0.79,Metadata state,0.72,Transcript + incident context,Wisc. Nanny 911 call,"“I need a nanny,” the woman says. “Yeah, this is a nanny 911.”
The woman goes on to request a baby sitter, help with her kids and someone to keep her company.
In disbelief, the dispatcher informs the caller that isn’t what 911 is for."
C016,"Can you please send us to you? Uh, to... I think I'm heading...",Domestic disturbance,Michigan,Concerned,0.42,heading,please,911_first6sec/call_28_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Officer’s MJ call – Mich.,"– off-duty officer calls to report he and his wife might have ingested marijuana brownies, and he sounds toasted"
C017,"Okay, this is county it's a matter",Water emergency / drowning,"Columbus, Ohio",Concerned,0.59,county it,None detected,911_first6sec/call_30_0.wav,Metadata,0.86,Metadata description,0.82,Transcript + incident context,Columbus drowning 911,"– The Spanish-speaking parents of a 4 year-old girl who fell into a pool dialed 911 in Columbus (Ohio), but had trouble explaining what had happened and where they were. It took 2 minutes to conference in an interpreter."
C018,"Oh my god, somebody's shooting at this sheriff's department. At the sheriff's department. Yes, somebody.",Shooting / gun violence,"Latah County, Idaho",Concerned,0.63,Unknown,shooting,911_first6sec/call_31_0.wav,Transcript + metadata,0.75,Metadata description,0.76,Transcript + incident context,Courthouse shooting,"– In May 2007 a gunman opened fire on the Latah County (Idaho) Courthouse at night, where several dispatchers were working. Residents dialed 911 to report it to the dispatchers who were themselves under fire. A Moscow city police officer was killed by the gunfire and a deputy was wounded. The suspect Paul Bauer killed himself in a nearby church. Read more"
C019,"Okay, calm down a little bit, okay? What's he at?",Medical emergency,California,Concerned,0.53,Unknown,None detected,911_first6sec/call_32_0.wav,Metadata,0.79,Metadata state,0.72,Transcript + incident context,River Phoenix 911 call,"– In Oct. 1993 actor River Phoenix collapsed outside a Hollywood (Calif.) nightclub, prompting a 911 call for help. He was taken to a hospital where he was pronounced dead, later determined to be a drug overdose."
C020,"Um, there was just a semi going, what is that? Red arrow going down.",Traffic collision,"Paw Paw, Michigan",Concerned,0.49,Unknown,None detected,911_first6sec/call_33_0.wav,Metadata,0.72,Metadata description,0.82,Transcript + incident context,Wheelchair ride – Mich.,"– In June 2007 caller in Paw Paw (Mich.) reported that a man in a wheelchair, Ben Carpenter, had been struck by an 18-wheel truck while crossing the street, and was was now stuck to the front of the truck and being dragged down the street. Read more"
C021,"I'm a quality breakthrough, and I'm a",Traffic collision,DC,Concerned,0.49,Unknown,None detected,911_first6sec/call_34_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Festival crash – DC,"– In June 2007 a woman allegedly on drugs drove through a Anacostia district Washington (DC) weekend street festival, injuring dozens of pedestrians. Callers dialed 911 when Tonya Bell drove through a barricade and into the crowded street at up to 70 mph. Police finally stopped her cara by throwing two motorscooters under her car."
C022,You can see the,Medical emergency,California,Concerned,0.53,Unknown,None detected,911_first6sec/call_35_0.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,LA hospital 911 calls,"– caller from a hospital emergency room dials 911 to report a medical problem, later dies"
C023,"Yes, I live at 90301 South Texas Street. Mm-hmm. I've got a gentle...",Homicide / death investigation,"90301 South Texas Street, Wisconsin",Distressed,0.66,Unknown,None detected,911_first6sec/call_36_0.wav,Metadata,0.75,Transcript + metadata state,0.9,Transcript + incident context,Murder-suicide – Wisc.,"– In June 2007 23 year-old Amborsio Analco shot and killed six persons–including his own small children–inside a Delavan (Wisc.) duplex, and then killed himself."
C024,"where's your emergency? Any ambulance to 101, colony. Okay, what's the reason to leave? What's going on? One thing.",Stabbing / assault,"Fairfield, Connecticut",Concerned,0.59,Unknown,emergency; ambulance,911_first6sec/call_37_0.wav,Metadata,0.75,Metadata description,0.82,Transcript + incident context,Stabbing 911,"– In June 2007 a neighbor came to Barry James’ house in Fairfield (Conn.) and stabbed him to death, apparently in retaliation. James’ father dialed 911 to report the incident, along with several neighbors. Read more"
C025,"Hi, I'm speaking to my boyfriend as he was entering his home and I heard loud screaming and now be good",Shooting / gun violence,New Jersey,Concerned,0.63,speaking to my,None detected,911_first6sec/call_38_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Murder 911,"– In August 2006 a woman dialed 911 when she heard screaming on the other end of the phone while talking to her boss, Paul Duncsak, and then the line went dead. Police arrived at Duncsak’s Ramsey (NJ) home to find him dead of a gunshot wound to the head. Read more"
C026,"Yeah, this is from, I had a little girl that fell on the ball and...",Water emergency / drowning,Colorado,Concerned,0.59,from,None detected,911_first6sec/call_42_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Pool save – Colo.,nan
C027,"Yep. Hi, I'm trying to save up your family and I'm asking them all in those alternatives to my health.",Stabbing / assault,"Before Broward County, Florida",Concerned,0.59,trying to save; asking them all,None detected,911_first6sec/call_43_0.wav,Metadata,0.82,Metadata description,0.76,Transcript + incident context,Stabbing attack 911,"– In May 2007 a Tamarac (Fla.) woman dialed 911 to say her ex-boyfriend was pounding on the door. Before Broward County deputies arrived, the ex-boyfriend, Mario Cruz, threw a barbeque through a patio door, came inside and stabbed Maria Borrero and her then-boyfriend. As a deputy arrived, Cruz approached the deputy with a knife, and was shot and killed."
C028,I'm out here right here and I lost my keys in my car. Is there any way that someone can imagine?,Non-emergency / misuse of 911,Location not provided in source data,Calm,0.06,out here right,None detected,911_first6sec/call_46_0.wav,Metadata,0.75,Unavailable,0.0,Transcript + incident context,Non-emerg 911’s,– A collection of non-emergency calls made to 911.
C029,It's not an emergency. The only way I know how I get in touch with this woman is...,Non-emergency / misuse of 911,Location not provided in source data,Concerned,0.19,Unknown,emergency,911_first6sec/call_46_1.wav,Metadata,0.75,Unavailable,0.0,Transcript + incident context,Non-emerg 911’s,– A collection of non-emergency calls made to 911.
C030,What's going on there? Does he hide?,Non-emergency / misuse of 911,Location not provided in source data,Calm,0.06,Unknown,None detected,911_first6sec/call_46_2.wav,Metadata,0.75,Unavailable,0.0,Transcript + incident context,Non-emerg 911’s,– A collection of non-emergency calls made to 911.
C031,Now one one where is your emergency?,Non-emergency / misuse of 911,Location not provided in source data,Concerned,0.19,Unknown,emergency,911_first6sec/call_46_3.wav,Metadata,0.75,Unavailable,0.0,Transcript + incident context,Non-emerg 911’s,– A collection of non-emergency calls made to 911.
C032,I hear you.,Non-emergency / misuse of 911,Location not provided in source data,Calm,0.06,Unknown,None detected,911_first6sec/call_46_4.wav,Metadata,0.75,Unavailable,0.0,Transcript + incident context,Non-emerg 911’s,– A collection of non-emergency calls made to 911.
C033,I'm sorry but the farm works bill on. I'm sorry you cannot call 911 for that.,Non-emergency / misuse of 911,Location not provided in source data,Concerned,0.11,sorry but the; sorry you cannot,None detected,911_first6sec/call_46_5.wav,Metadata,0.75,Unavailable,0.0,Transcript + incident context,Non-emerg 911’s,– A collection of non-emergency calls made to 911.
C034,"Please, thank you. Yes. No. I want to report a drug overdose. A drug overdose.",Stabbing / assault,Florida,Concerned,0.59,Unknown,overdose; please,911_first6sec/call_47_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Murder 911 call,"– In July 2007 a Palm Beach Gardens (Fla.) father dialed 911 to report that an 18 year-old girl was dead in his son’s room from an overdose. Amanda Buckley was later found to have been strangled and bound with duct tape, and the caller’s 26 year-old son Jason Shenfeld was arrested for murder."
C035,"emergency. Uh, five. Zero zero one. Here's man. We'll be in gun. Five zero.",Shooting / gun violence,Wisconsin,Concerned,0.63,Unknown,gun; emergency,911_first6sec/call_48_0.wav,Transcript + metadata,0.79,Metadata state,0.72,Transcript + incident context,Pellet gun shooting – Wisc.,"– In July, 2007 Madison (Wisc.) resident Ronald Brandon called to report an armed man outside his house, but described"
C036,I'm going to want somebody to just walk into our house while they're going to be focused. That's what I'm going to have now.,Burglary / robbery / intruder,Florida,Concerned,0.47,going to want; going to have,None detected,911_first6sec/call_49_0.wav,Metadata,0.79,Metadata state,0.72,Transcript + incident context,911 from closet – Fla.,"– In July 2007 11 year-old Rayshaun Wagner called 911 from a closet at his Jacksonville (Fla.) home to report that someone was breaking into his home. Wagner set off the home’s burglar alarm manually, then grabbed his 5 year-old brother and hid in a closet as he talked to sheriff’s dispatcher Sydney McClurkin. The call captures the police arriving. Read more"
C037,floor. You're going to cover up. Sure be on the floor. Okay. I'm going to tell you how to help deliver the baby. Okay.,Medical emergency,Texas,Concerned,0.53,going to tell,None detected,911_first6sec/call_50_0.wav,Metadata,0.79,Metadata state,0.72,Transcript + incident context,Baby Delivery 911 – Tex.,nan
C038,It's already about going to a house. But I don't know.,Homicide / death investigation,"Rineyville, Kentucky",Distressed,0.66,Unknown,None detected,911_first6sec/call_52_0.wav,Metadata,0.75,Metadata description,0.82,Transcript + incident context,Double murder – Ken.,"– In Sept. 2007 a 9 year-old in Rineyville (Ken.) dialed 911 to report his mother and former mother-in-law had been shot to death by an intruder. The dispatcher is at first skeptical, but then kicks into gear."
C039,"Hello, I'm going down to the back one with my baby. Okay, where are you?",Missing person / abduction,Ohio,Concerned,0.56,going down to,None detected,911_first6sec/call_53_0.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Child abduction (Ohio),"– In 2005 a Cincinnati (Ohio) mother dialed 911 to report her child had been abducted by the child’s father. The father allegedly had mental problems, and later killed the child. The dispatcher told the mother to return home and not to follow the father. The mother is now suing CPD."
C040,all night long. Let alone one one in the future. Perhaps one in this early winter camp.,Water emergency / drowning,Minnesota,Concerned,0.59,Unknown,None detected,911_first6sec/call_54_0.wav,Metadata,0.79,Metadata state,0.72,Transcript + incident context,Boat rescue #1 – Minn.,nan
C041,The address is 1160 Ray Road. We have a baby missing out of a crib.,Missing person / abduction,"Spring Lake, North Carolina",Concerned,0.56,Unknown,None detected,911_first6sec/call_56_0.wav,Transcript + metadata,0.82,Metadata description,0.82,Transcript + incident context,Missing baby,"– In October 2007 Mary Creech dialed 911 in Spring Lake (NC) to report that her 11 month-old granddaughter was missing from her crib. Harnett County deputies arrived and searched the house and area, but had no leads. Several days later they discovered the baby’s body in the attic, and arrested the mother, who claimed the child died naturally."
C042,"See, uh, Bartlett was breaking into a house next door. What's the address there, sir? 74.",Burglary / robbery / intruder,Texas,Concerned,0.47,Unknown,None detected,911_first6sec/call_57_0.wav,Transcript,0.82,Metadata state,0.72,Transcript + incident context,Burglary+shotgun – Tex.,"– In November 2007 Pasadena (Tex.) resident Joe Horn saw two men enter his next-door neighbor’s house. He dialed 911 and, despite the dispatcher’s advice, armed himself with a shotgun, confronted the two men as they left the houses, and shot and killed both of them. A grand jury later declined to indict Horn on any charges."
C043,I think it's an Indian director after the period during the current purple winter space after he took down or something. I don't know.,Medical emergency,"Morristown, Tennessee",Concerned,0.53,Unknown,None detected,911_first6sec/call_58_0.wav,Metadata,0.75,Metadata description,0.82,Transcript + incident context,CPR by phone – Tenn.,"– On November 24, 2007 a woman in Morristown (Tenn.) dialed 911 to report that a 16 year-old boy, Jordan Kaleb Shelton, wasn’t breathing. A Hamblen County dispatcher gave the caller CPR instructions as EMS units were enroute. The boy’s foster father, Kenneth Taylor, was later arrested and charged with choking the youth."
C044,"Hello, my Royal One.",Shooting / gun violence,"Omaha, Nebraska",Concerned,0.63,Unknown,None detected,911_first6sec/call_59_0.wav,Metadata,0.72,Metadata description,0.82,Transcript + incident context,#1,– In Dec. 2007 Robert Hawkins entered the Westroads Mall in Omaha (Neb.) and killed either persons before killing himself. There were many 911 callers reporting the shooting. Listen to the various calls:
C045,I don't know if the gun cannot wait.,Threat / suspicious activity,"Hernando County, Florida",Concerned,0.45,Unknown,gun,911_first6sec/call_60_0.wav,Metadata,0.82,Metadata description,0.76,Transcript + incident context,Man With Gun,"– In November 2007 Debbie Gabelman called 911 from her Spring Hill (Fla.) home to report that her son Kyle Gabelman, 25, had a gun and was outside the house threatening the family. The son tried to get inside the house, at one point breaking in a back window. When Kyle went to the front door with the gun, two Hernando County sheriff’s deputies shot and killed him. Read more"
C046,"Yes, this guy is following us with shotgun and he's trying to run us off the road. We're standing up.",Shooting / gun violence,Colorado,Concerned,0.63,Unknown,None detected,911_first6sec/call_61_0.wav,Transcript + metadata,0.72,Metadata state,0.72,Transcript + incident context,Teen car shooting – Colo.,"- In Nov. 2007 Eighteen-year-old Michael Fisher was trying to help a friend get away from her abusive ex-boyfriend. The gunman chased Fisher down in a car before shooting him and another boy, beating the girl, and then shooting himself."
C047,"Hey, let's go on a cross street from the new Deaf Trail, you know, people in jail. Go go go.",Medical emergency,"a cross street, Florida",Concerned,0.53,Unknown,None detected,911_first6sec/call_62_0.wav,Metadata,0.72,Transcript + metadata state,0.9,Transcript + incident context,Garage collapse – Fla.,"– In Dec. 2007 a parking garage collapsed in Jacksonville (Fla.), generating several 911 calls"
C048,"Please. You just have further to get that breath. Give me address first, ma'am. Now.",Medical emergency,California,Concerned,0.53,Unknown,please,911_first6sec/call_63_0.wav,Metadata,0.79,Metadata state,0.72,Transcript + incident context,Post Surgery 911 – Calif.,"– mother of singer Kanye West suffers a post-surgery problem, and friends dial 911 for help"
C049,What's going on man?,Homicide / death investigation,Texas,Distressed,0.66,Unknown,None detected,911_first6sec/call_64_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Taxi murders – Tex.,– In Jan. 2008 an Irving (Tex.) hotel employee called to report finding two dead persons in a taxi.
C050,I think I'm also going to follow me all because somebody thinks she's a finger and can't drive all straight.,Traffic collision,Wisconsin,Concerned,0.49,also going to,None detected,911_first6sec/call_65_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,DUI 911 Caller – Wisc.,-
C051,and we found air cream just went down awesome in Corona. An airplane.,Traffic collision,"Corona, California",Concerned,0.49,Unknown,None detected,911_first6sec/call_66_0.wav,Metadata,0.82,Transcript + metadata state,0.9,Transcript + incident context,Midair plane crash – Calif.,"– calls made after two small Cessna airplanes collide in mid-air over Corona, S. Calif."
C052,"I'm gonna be able to go jump down the road and jump, and I'm gonna cry. At the end of the car, I can't hear you.",Rescue / person trapped,Pennsylvania,Concerned,0.55,gonna be able; gonna cry,None detected,911_first6sec/call_67_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Trapped under car – Penn.,– man dials 911 after becoming trapped under a car at an auto parts junkyard
C053,"Yes, she's a bitch. Because she wanted to know me. I don't know where you are.",Missing person / abduction,Texas,Concerned,0.56,Unknown,None detected,911_first6sec/call_68_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Kidnap 911 – Tex.,– mother reports her infant child was just grabbed and taken away; police later determined the kidnappers took the child as leverage for an unpaid loan. There was criticism of the dispatcher’s handling of the call.
C054,"There's a killing over here, pardon? And what's going...",Shooting / gun violence,California,Concerned,0.63,Unknown,None detected,911_first6sec/call_69_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Pre-murder 911 – Calif.,"Police officers and paramedics rushed to the woman's apartment complex at 30 W. Carter Drive, near Mill Avenue and U.S. 60, only to find Hernandez and her son, 14-year-old Jeremy Barragan, uninjured and not in danger. The next day the woman shot the boy."
C055,"Hey, I just thought of God fired two shots after...",Traffic collision,North Carolina,Concerned,0.49,Unknown,None detected,911_first6sec/call_70_0.wav,Metadata,0.79,Metadata state,0.72,Transcript + incident context,Suspect run over – NC,nan
C056,"Okay, I got a female shot, one set in a 831, some avenue apartment.",Shooting / gun violence,Florida,Concerned,0.63,Unknown,shot,911_first6sec/call_71_0.wav,Transcript + metadata,0.75,Metadata state,0.72,Transcript + incident context,Accidental shooting – Fla.,A 26-year-old man who allegedly shot and killed an 18-year-old Jupiter Farms woman early Friday told a 911 dispatcher it was an accident
C057,Hello sir. Yeah. Did you dial 911 a little while ago?,Threat / suspicious activity,Connecticut,Concerned,0.45,Unknown,None detected,911_first6sec/call_72_0.wav,Metadata,0.79,Metadata state,0.72,Transcript + incident context,Welfare check 911 – Conn.,nan
C058,"Yeah, for me. I'm glad you're here. How's what's going on? What's going on? I want to put my vehicle ahead of me.",Public safety / unusual incident,Arizona,Calm,0.27,glad you,None detected,911_first6sec/call_73_0.wav,Metadata,0.79,Metadata state,0.72,Transcript + incident context,"Rocket launcher call – Surprise, Ariz.","– An El Mirage resident dials 911 to report finding a rocket launcher, but the dispatcher tells him to call his local police department on non-emergency line"
C059,"Yeah, we just I need a report. Okay, nothing we can't nothing what happened",Missing person / abduction,California,Concerned,0.56,Unknown,None detected,911_first6sec/call_74_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Kidnap 911 – Calif.,"As Pedro Lopez folded clothes inside his family’s home, his daughter played outside with another girl, according to police. Suddenly, neighbors said, a man who had been parked across the street in a red car grabbed the 4-year-old, forced her into his car and drove off.
At least two frantic neighbors called 911. Lopez and a neighbor drove through the streets, scouring the area in search of his daughter."
C060,"Hi, I called a little guy, I believe I talked to you, Stacy.",Homicide / death investigation,Wisconsin,Distressed,0.66,Unknown,None detected,911_first6sec/call_75_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Diabetes death 911 – Wisc.,nan
C061,I'm working.,Shooting / gun violence,"Warren County, New York",Concerned,0.63,working,None detected,911_first6sec/call_76_0.wav,Metadata,0.75,Metadata description,0.82,Transcript + incident context,Shooting &amp; pursuit,"– In April 2010 a man came to a former girlfriend’s house in Warren County (NY), tried to enter and then began shooting at the house. An occupant dialed 911 for help, and then suspect Patrick Penders fled in his car. He was soon spotted by sheriff’s deputies and state police, chased until he crashed, and then fatally shot when he confronted officers. Listen to the"
C062,"Yes, ma'am. Any somebody that come to Penicryklandin? Okay.",Water emergency / drowning,"Charleston County, South Carolina",Concerned,0.59,Unknown,None detected,911_first6sec/call_77_0.wav,Metadata,0.75,Metadata description,0.76,Transcript + incident context,Drowning,"– In Sept. 2010 a car went off the road in rural Charleston County (SC) at 5:30 a.m., and two occupants were swept away and drowned. One occupant escaped and ran to a nearby house, where the occupant dialed 911 for help. Also listen to two other 911 calls:"
C063,My name is Mary Lyons. I'm the banking center manager at Bank of America at 185 Highland,Homicide / death investigation,"185 Highland, Connecticut",Distressed,0.66,Mary Lyons; the banking center,None detected,911_first6sec/call_79_0.wav,Metadata,0.75,Transcript + metadata state,0.9,Transcript + incident context,Hostage-murder,"– In July 2007 two suspects invaded the Cheshire (Conn.) home of a family and held them hostage. They forced the wife to withdraw $15,000 from her bank, but when she returned they killed her and two children, while her husband escaped. While in the bank, Jennifer Hawke-Petit alerted the teller, telling her to call 911. The bank manager did call 911 to explain what happened. Also listen to a neighbor’s"
C064,"You mean somebody can still ask it on my mom? Yeah, I don't even, she just pulled out.",Stabbing / assault,Arizona,Concerned,0.59,Unknown,None detected,911_first6sec/call_80_0.wav,Metadata,0.72,Metadata state,0.72,Transcript + incident context,Acid attack,"– In Sept. 2010 a Mesa (Ariz.) woman was splashed with a caustic chemical by a stranger, and the victim’s young daughter dialed 911 for help. Derri Velarde had just arrived home from work and was confronted by another female, who threw the liquid at her."
C065,This is the hospital at where am I at? I'm at dog,Shooting / gun violence,Maryland,Concerned,0.63,the hospital at; at dog,None detected,911_first6sec/call_81_0.wav,Metadata,0.75,Metadata state,0.72,Transcript + incident context,Hospital shooting,"– In Sept. 2010 a man meeting with a doctor about his ill wife pulled a handgun, shot the doctor and his wife, and then barricaded himself before shooting himself. The doctor survived, but Paul Pardus’ mother did not."
C066,The Old North Shore Road and my husband's been at Skye Bear.,Animal attack,"Lake Wenatchee, Washington",Concerned,0.49,Unknown,None detected,911_first6sec/call_83_0.wav,Metadata,0.79,Metadata description,0.82,Transcript + incident context,Bear attack,"– In Sept. 2010 a man walking his dog at his vacation home in Lake Wenatchee (Wash.) was attacked by a bear. His wife saw the attack and dialed 911. An EMS unit arrived about 15 minutes later to treat the man, who suffered serious, but non-life threatening injuries."
C067,"Somebody, somebody just pulled up and saw our shoe, and they left us shot by two pieces. Okay, we're getting some up.",Shooting / gun violence,Florida,Concerned,0.63,Unknown,shot,911_first6sec/call_85_0.wav,Transcript + metadata,0.75,Metadata state,0.72,Transcript + incident context,Shootings,"– In Oct. 2010 a Gainesville (Fla.) man drove around his neighborhood and shot five people, then killed his father and himself. Police don’t know why Clifford Miller Jr. wounded the five people who survived. The several-block area of the shooting complicated the dispatching process and response."
C068,"Oh my gosh, the flag. Hello? You're up at where inside.",Building fire,Ohio,Concerned,0.59,Unknown,None detected,911_first6sec/call_86_0.wav,Metadata,0.82,Metadata state,0.72,Transcript + incident context,Fire rescue,– In Oct. 2010 a Cleveland (Ohio) woman and two children were trapped in their home by a fire. During a 15-minute 911 call the woman pleaded for help. The incident raised questions of sufficient comm center staffing.
C069,on 21st Street. This is Tony Guzman on the staffer and he was overhead towards,Shooting / gun violence,"21st Street, Texas",Concerned,0.63,Tony Guzman on,None detected,911_first6sec/call_87_0.wav,Metadata,0.75,Transcript + metadata state,0.9,Transcript + incident context,University shooting,– In Oct. 2010 a University of Texas (Austin) student arrived on campus with an AK-47 semi-auto rifle and dressed in a mask. He fired several shots but didn’t point the weapon at anyone. When police arrived he fled to the library and killed himself. Also listen to this collection of
C070,"High, a little airplane, a little one engineer plane took off on the airport at 83rd Street in Kress.",Traffic collision,"the airport at 83rd Street, Illinois",Concerned,0.49,Unknown,None detected,911_first6sec/call_88_0.wav,Metadata,0.86,Transcript + metadata state,0.9,Transcript + incident context,Plane crash,"– In Oct. 2010 a single-engine plane crashed on take-off from the Naperville (Ill.) airport, and various witnesses called 911 to report it."
