Incident_ID,Source,Event,Location,Time,Severity,Source_Record_ID,Detail
AUD-024,Audio,Stabbing / assault,"Fairfield, Connecticut",Unknown,High,C024,"where's your emergency? Any ambulance to 101, colony. Okay, what's the reason to leave? What's going on? One thing."
AUD-025,Audio,Shooting / gun violence,New Jersey,Unknown,High,C025,"Hi, I'm speaking to my boyfriend as he was entering his home and I heard loud screaming and now be good"
AUD-026,Audio,Water emergency / drowning,Colorado,Unknown,High,C026,"Yeah, this is from, I had a little girl that fell on the ball and..."
AUD-027,Audio,Stabbing / assault,"Before Broward County, Florida",Unknown,High,C027,"Yep. Hi, I'm trying to save up your family and I'm asking them all in those alternatives to my health."
AUD-028,Audio,Non-emergency / misuse of 911,Location not provided in source data,Unknown,Low,C028,I'm out here right here and I lost my keys in my car. Is there any way that someone can imagine?
AUD-029,Audio,Non-emergency / misuse of 911,Location not provided in source data,Unknown,Low,C029,It's not an emergency. The only way I know how I get in touch with this woman is...
AUD-030,Audio,Non-emergency / misuse of 911,Location not provided in source data,Unknown,Low,C030,What's going on there? Does he hide?
AUD-031,Audio,Non-emergency / misuse of 911,Location not provided in source data,Unknown,Low,C031,Now one one where is your emergency?
AUD-032,Audio,Non-emergency / misuse of 911,Location not provided in source data,Unknown,Low,C032,I hear you.
AUD-033,Audio,Non-emergency / misuse of 911,Location not provided in source data,Unknown,Low,C033,I'm sorry but the farm works bill on. I'm sorry you cannot call 911 for that.
AUD-034,Audio,Stabbing / assault,Florida,Unknown,High,C034,"Please, thank you. Yes. No. I want to report a drug overdose. A drug overdose."
AUD-035,Audio,Shooting / gun violence,Wisconsin,Unknown,High,C035,"emergency. Uh, five. Zero zero one. Here's man. We'll be in gun. Five zero."
AUD-036,Audio,Burglary / robbery / intruder,Florida,Unknown,High,C036,I'm going to want somebody to just walk into our house while they're going to be focused. That's what I'm going to have now.
AUD-037,Audio,Medical emergency,Texas,Unknown,High,C037,floor. You're going to cover up. Sure be on the floor. Okay. I'm going to tell you how to help deliver the baby. Okay.
AUD-038,Audio,Homicide / death investigation,"Rineyville, Kentucky",Unknown,High,C038,It's already about going to a house. But I don't know.
AUD-039,Audio,Missing person / abduction,Ohio,Unknown,Medium,C039,"Hello, I'm going down to the back one with my baby. Okay, where are you?"
AUD-040,Audio,Water emergency / drowning,Minnesota,Unknown,High,C040,all night long. Let alone one one in the future. Perhaps one in this early winter camp.
AUD-041,Audio,Missing person / abduction,"Spring Lake, North Carolina",Unknown,Medium,C041,The address is 1160 Ray Road. We have a baby missing out of a crib.
AUD-042,Audio,Burglary / robbery / intruder,Texas,Unknown,High,C042,"See, uh, Bartlett was breaking into a house next door. What's the address there, sir? 74."
AUD-043,Audio,Medical emergency,"Morristown, Tennessee",Unknown,High,C043,I think it's an Indian director after the period during the current purple winter space after he took down or something. I don't know.
AUD-044,Audio,Shooting / gun violence,"Omaha, Nebraska",Unknown,High,C044,"Hello, my Royal One."
AUD-045,Audio,Threat / suspicious activity,"Hernando County, Florida",Unknown,Medium,C045,I don't know if the gun cannot wait.
AUD-046,Audio,Shooting / gun violence,Colorado,Unknown,High,C046,"Yes, this guy is following us with shotgun and he's trying to run us off the road. We're standing up."
AUD-047,Audio,Medical emergency,"a cross street, Florida",Unknown,High,C047,"Hey, let's go on a cross street from the new Deaf Trail, you know, people in jail. Go go go."
AUD-048,Audio,Medical emergency,California,Unknown,High,C048,"Please. You just have further to get that breath. Give me address first, ma'am. Now."
AUD-049,Audio,Homicide / death investigation,Texas,Unknown,High,C049,What's going on man?
AUD-050,Audio,Traffic collision,Wisconsin,Unknown,Medium,C050,I think I'm also going to follow me all because somebody thinks she's a finger and can't drive all straight.
AUD-051,Audio,Traffic collision,"Corona, California",Unknown,Medium,C051,and we found air cream just went down awesome in Corona. An airplane.
AUD-052,Audio,Rescue / person trapped,Pennsylvania,Unknown,High,C052,"I'm gonna be able to go jump down the road and jump, and I'm gonna cry. At the end of the car, I can't hear you."
AUD-053,Audio,Missing person / abduction,Texas,Unknown,Medium,C053,"Yes, she's a bitch. Because she wanted to know me. I don't know where you are."
AUD-054,Audio,Shooting / gun violence,California,Unknown,High,C054,"There's a killing over here, pardon? And what's going..."
AUD-055,Audio,Traffic collision,North Carolina,Unknown,Medium,C055,"Hey, I just thought of God fired two shots after..."
AUD-056,Audio,Shooting / gun violence,Florida,Unknown,High,C056,"Okay, I got a female shot, one set in a 831, some avenue apartment."
AUD-057,Audio,Threat / suspicious activity,Connecticut,Unknown,Medium,C057,Hello sir. Yeah. Did you dial 911 a little while ago?
AUD-058,Audio,Public safety / unusual incident,Arizona,Unknown,Low,C058,"Yeah, for me. I'm glad you're here. How's what's going on? What's going on? I want to put my vehicle ahead of me."
AUD-059,Audio,Missing person / abduction,California,Unknown,Medium,C059,"Yeah, we just I need a report. Okay, nothing we can't nothing what happened"
AUD-060,Audio,Homicide / death investigation,Wisconsin,Unknown,High,C060,"Hi, I called a little guy, I believe I talked to you, Stacy."
AUD-061,Audio,Shooting / gun violence,"Warren County, New York",Unknown,High,C061,I'm working.
AUD-062,Audio,Water emergency / drowning,"Charleston County, South Carolina",Unknown,High,C062,"Yes, ma'am. Any somebody that come to Penicryklandin? Okay."
AUD-063,Audio,Homicide / death investigation,"185 Highland, Connecticut",Unknown,High,C063,My name is Mary Lyons. I'm the banking center manager at Bank of America at 185 Highland
AUD-064,Audio,Stabbing / assault,Arizona,Unknown,High,C064,"You mean somebody can still ask it on my mom? Yeah, I don't even, she just pulled out."
AUD-065,Audio,Shooting / gun violence,Maryland,Unknown,High,C065,This is the hospital at where am I at? I'm at dog
AUD-066,Audio,Animal attack,"Lake Wenatchee, Washington",Unknown,Medium,C066,The Old North Shore Road and my husband's been at Skye Bear.
AUD-067,Audio,Shooting / gun violence,Florida,Unknown,High,C067,"Somebody, somebody just pulled up and saw our shoe, and they left us shot by two pieces. Okay, we're getting some up."
AUD-068,Audio,Building fire,Ohio,Unknown,High,C068,"Oh my gosh, the flag. Hello? You're up at where inside."
AUD-069,Audio,Shooting / gun violence,"21st Street, Texas",Unknown,High,C069,on 21st Street. This is Tony Guzman on the staffer and he was overhead towards
AUD-070,Audio,Traffic collision,"the airport at 83rd Street, Illinois",Unknown,Medium,C070,"High, a little airplane, a little one engineer plane took off on the airport at 83rd Street in Kress."
AUD-071,Audio,Missing person / abduction,"Hickory, North Carolina",Unknown,Medium,C071,"I'm sorry. I'm sorry. I'm sorry. I'm sorry. Get out of order. Things? Yes, ma'am."
AUD-072,Audio,Homicide / death investigation,Louisiana,Unknown,High,C072,"and they can. Okay, what do you need to play?"
AUD-073,Audio,Homicide / death investigation,Utah,Unknown,High,C073,"Yes, I need to please, please, at my house. Flatt us. I think we need an ambulance."
AUD-074,Audio,Shooting / gun violence,Iowa,Unknown,High,C074,Okay. We need a person back in the meat department to get out of the meat.
AUD-075,Audio,Medical emergency,"Barnstable County, Massachusetts",Unknown,High,C075,What do you need? You need the police? You need the police.
AUD-076,Audio,Burglary / robbery / intruder,Washington,Unknown,High,C076,"Somebody go into my house, there's a house there. What's your address? Yeah, but..."
AUD-077,Audio,Shooting / gun violence,North Carolina,Unknown,High,C077,We just got a lot of to come apart. I'm making it with a gun. Shot one of our employees. And uh...
AUD-078,Audio,Building fire,"Henderson County, North Carolina",Unknown,High,C078,My dad is fell in the floor and his visor is in
AUD-079,Audio,Rescue / person trapped,"Volusia County, Florida",Unknown,High,C079,"Oh, my mom's actually doctor. You're not at the doctor. Are you there alone?"
AUD-080,Audio,Public safety / unusual incident,"Orange County, California",Unknown,Low,C080,I'm not going to want to miss that show right up. I'm going to take a look and I'm going to wipe them.
AUD-081,Audio,Homicide / death investigation,Florida,Unknown,High,C081,"Oh, that's a thing. I'm assuming. Who's been shot, man? I'll be right."
AUD-082,Audio,Traffic collision,Indiana,Unknown,Medium,C082,one.
AUD-083,Audio,Burglary / robbery / intruder,"Volusia County, Florida",Unknown,High,C083,This is the book will be a bank of 1302 with the I should have seen my clothes on. We're being robbed.
AUD-084,Audio,Stabbing / assault,Wisconsin,Unknown,High,C084,"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, "
AUD-085,Audio,Shooting / gun violence,Florida,Unknown,High,C085,"Yes, we're at the Nelson building and there's some men here with the dogs to do the same into the board meeting. Okay, you're at the..."
AUD-086,Audio,Domestic disturbance,Connecticut,Unknown,Medium,C086,"Listen, will we be in the room? Okay, so come on, pass my seatbelt. You gotta attack my seatbelt."
AUD-087,Audio,Domestic disturbance,Connecticut,Unknown,Medium,C087,See? Thank you.
AUD-088,Audio,Rescue / person trapped,"Green Lake County, Wisconsin",Unknown,High,C088,"I'm locked in the field, I don't know if I can't. You're walking in the field, okay, I need to just stop, okay, I'm gonna try to decide."
AUD-089,Audio,Shooting / gun violence,"Orange County, California",Unknown,High,C089,"I'm going to get the emergency. Somebody just set the police up at the... I'll put the address, ma'am."
AUD-090,Audio,Shooting / gun violence,"Orange County, California",Unknown,High,C090,I've got to almost a wee shot down here. I'll put on...
AUD-091,Audio,Shooting / gun violence,"Orange County, California",Unknown,High,C091,"If you're out to the big county, we'll go to the fort."
AUD-092,Audio,Shooting / gun violence,"Orange County, California",Unknown,High,C092,"Yes, there's two subs here that's being on the ground. Okay, he just got stopped."
AUD-093,Audio,Traffic collision,Hawaii,Unknown,Medium,C093,"I mean, I wait on the car, there's a wire turn off."
AUD-094,Audio,Homicide / death investigation,Ohio,Unknown,High,C094,"On the heretic, I'm heretic of police vision and a recall."
AUD-095,Audio,Shooting / gun violence,"Williamsburg County, South Carolina",Unknown,High,C095,"Yes, I need to please quickly, gently. So, change."
AUD-096,Audio,Homicide / death investigation,Arizona,Unknown,High,C096,Hello? Hello? Hello? Hello?
AUD-097,Audio,Building fire,"Hyattsville, Maryland",Unknown,High,C097,"Um, of course, 4709, 4709. Do you want to have our energy catching pads?"
AUD-098,Audio,Shooting / gun violence,California,Unknown,High,C098,"Hi, I need somebody escorted out of my store right away. He's causing problems."
AUD-099,Audio,Medical emergency,Oregon,Unknown,High,C099,Hello? Hello 911?
AUD-100,Audio,Animal attack,"Arizona City, Arizona",Unknown,Medium,C100,"I got three pit balls, the second people. Thank you. You're attacking kids? Yes, sir."
AUD-101,Audio,Burglary / robbery / intruder,Florida,Unknown,High,C101,"Hey, um, they just broke into my house. They had guns. They told us to just be on the floor. There's pounds in my..."
AUD-102,Audio,Homicide / death investigation,"Catawba County, North Carolina",Unknown,High,C102,"Um, I took some pills and I'm the pills when I made my mad mom."
AUD-103,Audio,Traffic collision,"Lafayette, Indiana",Unknown,Medium,C103,"Alright, well the thing is, I was just playing with my buddy. You were sliding? Slide."
AUD-104,Audio,Rescue / person trapped,"Hialeah, Florida",Unknown,High,C104,"There's somebody who's a guy at home alone and he's talking to my daughter, she's Anybody here quick?"
AUD-105,Audio,Building fire,Iowa,Unknown,High,C105,My house is on fire. I don't know how to sleep in and I'll go home and do them and I'll go home.
AUD-106,Audio,Public safety / unusual incident,California,Unknown,Low,C106,"Hi, my name is Maria. I'm calling because my teacher, Mr. Haines,"
AUD-107,Audio,Shooting / gun violence,Florida,Unknown,High,C107,"Yes, I have a gun and I don't swim out like I loaded and some of the shots."
AUD-108,Audio,Homicide / death investigation,South Carolina,Unknown,High,C108,"I have a friend who's been drinking, I've been trying to call him since, and today he is now loading several weapons in a box."
AUD-109,Audio,Shooting / gun violence,Massachusetts,Unknown,High,C109,"I need police at, uh, with a heck of a 291 water town street immediately. We just said bullet."
AUD-110,Audio,Building fire,"Provo, Utah",Unknown,High,C110,I'm not sure my friend has called and basically told me she's going to kill herself and I can probably will.
AUD-111,Audio,Building fire,"Provo, Utah",Unknown,High,C111,What's the address? 750 south of Tippie West.
AUD-112,Audio,Building fire,"Provo, Utah",Unknown,High,C112,emergency files. Put some locations.
AUD-113,Audio,Medical emergency,"Georgetown, Ohio",Unknown,High,C113,"It's been a while, I believe I haven't made it as possible. Everyone over goes."
AUD-114,Audio,Shooting / gun violence,"Athens-Clarke County, Georgia",Unknown,High,C114,"Yeah man, I'm up there next to the end. We're going to roll. We're going to see the gap."
AUD-115,Audio,Traffic collision,"Campbell County, Virginia",Unknown,Medium,C115,something that's 29 and a comeback would fall just and I can bring a card just coming down the wrong lane.
AUD-116,Audio,Burglary / robbery / intruder,"Livingston, Michigan",Unknown,High,C116,"I was a good woman, and I was a good woman."
AUD-117,Audio,Shooting / gun violence,"Sylva, North Carolina",Unknown,High,C117,Please come out here. What's your... I don't know where I dress. You're gonna have to be in the dress.
AUD-118,Audio,Traffic collision,"Monroe County, Ohio",Unknown,Medium,C118,"What could we get out of play? No one down in my computer. A plane going down, months in part. We got out."
AUD-119,Audio,Homicide / death investigation,Texas,Unknown,High,C119,"I saw somebody in the middle, and someone helped. What are you doing here?"
AUD-120,Audio,Shooting / gun violence,"Oakland County, Michigan",Unknown,High,C120,"somebody trying to rob us who got Tigret now we're holding your doubt. Okay, what address you at?"
AUD-121,Audio,Traffic collision,"Waynesville, Ohio",Unknown,Medium,C121,"Hello? Hello, I'm floating down the river in my car. Okay, what river are you on?"
AUD-122,Audio,Medical emergency,"Ridge Manor, Florida",Unknown,High,C122,"Yes, I need an ambulance on my heart sound. Okay, we can't hear. We can't hear."
AUD-123,Audio,Water emergency / drowning,"Cushing, Oklahoma",Unknown,High,C123,"with that little boy missing. Have you had any reports on one? No, I'm sure have it."
AUD-124,Audio,Threat / suspicious activity,"County Road, Texas",Unknown,Medium,C124,"May it please help me. I'm in County Road, 96600 will be on the TV and"
AUD-125,Audio,Shooting / gun violence,"Miramar, Florida",Unknown,High,C125,I'm going to be right here at the mirror. I don't need to log just my big.
AUD-126,Audio,Homicide / death investigation,"Arlington Heights, Illinois",Unknown,High,C126,"I'm not a suspect but I need to have somebody go to my brother, my house."
AUD-127,Audio,Medical emergency,"Seminole, Oklahoma",Unknown,High,C127,"Come on, run. Stay. My friend has had a better feature. Going out."
AUD-128,Audio,Burglary / robbery / intruder,Oklahoma,Unknown,High,C128,Hello? Yes. Maybe just be wrong. We're at... He's 22.
AUD-129,Audio,Shooting / gun violence,Florida,Unknown,High,C129,Hi friends community school I called my one on a few minutes ago we have I heard several time shots outside.
AUD-130,Audio,Medical emergency,"South Reno, Oklahoma",Unknown,High,C130,"Yeah, I need a name to go to 12-mark in South Reno. Okay, let's go on."
AUD-131,Audio,Medical emergency,Tennessee,Unknown,High,C131,I believe it is dangerous to the cold view. That's what is the address. And not cold view.
AUD-132,Audio,Burglary / robbery / intruder,"Westminster, Colorado",Unknown,High,C132,49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 49. 
AUD-133,Audio,Public safety / unusual incident,Georgia,Unknown,Low,C133,It's been a demolicing of a half in there. He's a woman inside and we need the one to come
AUD-134,Audio,Shooting / gun violence,"Watsonville, California",Unknown,High,C134,"I hope you. Hi, this is LaTisha from Store Big Five on Green Valley. I have a person that is robbing me."
AUD-135,Audio,Traffic collision,Georgia,Unknown,Medium,C135,"Yes ma'am, my neighbor just ran over so it's saying so I tried to kill her in her house. I don't know what?"
AUD-136,Audio,Stabbing / assault,"Arlington Heights, Illinois",Unknown,High,C136,I don't want my dad here to bring us since he threw me in the motion when he abused me
AUD-137,Audio,Building fire,"Volusia County, Florida",Unknown,High,C137,"Yeah, I got kind of like my father don't leave the little bit of head. He's 79 years old."
AUD-138,Audio,Building fire,"Volusia County, Florida",Unknown,High,C138,"Oh, my husband is up in the attic and he's not responding."
AUD-139,Audio,Homicide / death investigation,Pennsylvania,Unknown,High,C139,"I need to report a murder. Okay, where is that sir? 157 red scum."
AUD-140,Audio,Shooting / gun violence,Florida,Unknown,High,C140,"Yes, it's doing my bed in the back. I just don't know where you are."
AUD-141,Audio,Medical emergency,"Salt Lake City, Utah",Unknown,High,C141,"Hey, I told her some valley. We've got a medical a bird that's 4500."
AUD-142,Audio,Homicide / death investigation,North Carolina,Unknown,High,C142,I just got about four. I'm going to target. I'm going to three three.
AUD-143,Audio,Medical emergency,Kentucky,Unknown,High,C143,"Yes, we need an ambulance. We're at Westport Shopping Center right outside."
AUD-144,Audio,Shooting / gun violence,Florida,Unknown,High,C144,"Yeah! Yeah, yeah, yeah!"
AUD-145,Audio,Traffic collision,"South Brunswick, New Jersey",Unknown,Medium,C145,"Yes, excuse me, so I'm sending a couple of these cameras down. How would a copter came down?"
AUD-146,Audio,Traffic collision,"South Brunswick, New Jersey",Unknown,Medium,C146,"Yes, I will helicopter just crash. A helicopter just crash? Yes, sir. Okay."
AUD-147,Audio,Homicide / death investigation,"Copley, Ohio",Unknown,High,C147,"Good enough, Aben. Someone is running around the neighborhood shooting a gun. Okay, they're all in a car."
AUD-148,Audio,Stabbing / assault,"Lorain County, Ohio",Unknown,High,C148,"Hey, where's it? Sure, Thomas, can I help you? Yeah, this is Ben, he was it."
AUD-149,Audio,Missing person / abduction,"Aurora, Colorado",Unknown,Medium,C149,"of your emergency. I want to open to my office and let's find a tight face. Please come ahead. Okay, what's your address?"
AUD-150,Audio,Traffic collision,"third avenue, Colorado",Unknown,Medium,C150,"Oh my god, I'm on third avenue to railroad track. Somebody just tried to jump on the train and seven for late."
AUD-151,Audio,Shooting / gun violence,Nevada,Unknown,High,C151,"Ah, there's a curtain going on. Ah, we're shooting. We're shooting, we're shooting, we're shooting, we're shooting."
AUD-152,Audio,Shooting / gun violence,North Carolina,Unknown,High,C152,I think this is how you are to see it.
AUD-153,Audio,Homicide / death investigation,Canada,Unknown,High,C153,I have just some other eye-w
AUD-154,Audio,Animal attack,"A-shift Manatee County, Florida",Unknown,Medium,C154,"We're on the boat right now. Our spring says, God, they're five sharks. We're also made."
AUD-155,Audio,Shooting / gun violence,"59 31, Washington",Unknown,High,C155,"Yes, I got I just shot someone in my business. I'm at 59 31"
AUD-156,Audio,Shooting / gun violence,"Still Beach, California",Unknown,High,C156,"We got some shootings over here in Still Beach. OK, where? It's a salon in the Meritosh."
AUD-157,Audio,Shooting / gun violence,New York,Unknown,High,C157,"I just hope someone 100, around 40."
AUD-158,Audio,Traffic collision,"Los Angeles County, California",Unknown,Medium,C158,"Okay, yes, there would be a transferring searching in the city of La Criceta as her accelerator specs he kept up the vehicle."
AUD-159,Audio,Shooting / gun violence,California,Unknown,High,C159,"I got to report the shooting. Okay, where? Lehigh Hanson from an entity."
AUD-160,Audio,Shooting / gun violence,California,Unknown,High,C160,"We need to believe here. Okay, what's the address of the emergency? Yeah."
AUD-161,Audio,Homicide / death investigation,"Elyria, New York",Unknown,High,C161,I want to tell you what's happening first. I just killed my wife.
AUD-162,Audio,Homicide / death investigation,Idaho,Unknown,High,C162,"What do we say? What happens? Um, something. I think what about that?"
AUD-163,Audio,Shooting / gun violence,"Charleston, South Carolina",Unknown,High,C163,We have been shot at a house and book and into we have three children and we leave somebody here now.
AUD-164,Audio,Stabbing / assault,Illinois,Unknown,High,C164,"Yes, I can get from the concert."
AUD-165,Audio,Traffic collision,"Jacksonville, Florida",Unknown,Medium,C165,"And I'm behind a notes and wheel for VAD-U, like in plate C-E-G-A-1-4-8, and we've been all over the road."
AUD-166,Audio,Burglary / robbery / intruder,Colorado,Unknown,High,C166,for 202-molar circle. Two men have just cost my 10th of track.
AUD-167,Audio,Shooting / gun violence,"Orlando, Florida",Unknown,High,C167,What city are you in?
AUD-168,Audio,Traffic collision,"New Orleans, Louisiana",Unknown,Medium,C168,of mine going eastbound on I-10 between LA30 and LA40. Cool.
AUD-169,Audio,Homicide / death investigation,Texas,Unknown,High,C169,"Yes, we'd also right now there's a man's children at the stage. We need a cop. We're at. We're at."
AUD-170,Audio,Shooting / gun violence,"Irwindale, California",Unknown,High,C170,"Yes, ma'am. This is a joke. Hold on. You can read a great story. Just tell yourself."
AUD-171,Audio,Traffic collision,"Orange County, Florida",Unknown,Medium,C171,"Okay, I called this one and I already came back. Alright, so I'll be gone."
AUD-172,Audio,Homicide / death investigation,"Hernando County, Florida",Unknown,High,C172,"Yeah, I'm turning myself in for my husband, the number."
AUD-173,Audio,Shooting / gun violence,"Vance County, North Carolina",Unknown,High,C173,"I'm almost pregnant in my house. Wish I'd read. Sausage 6, Sethland, May 3. Sile what?"
AUD-174,Audio,Shooting / gun violence,"Norton, Massachusetts",Unknown,High,C174,"I know, I'm sorry, brother. I don't want to miss you, shut doors. I can go..."
AUD-175,Audio,Shooting / gun violence,"Brownsville, Texas",Unknown,High,C175,I am sorry I have missed middle school where the students are done to help us out please. We will call BSE Police also.
AUD-176,Audio,Homicide / death investigation,"Stark County, Ohio",Unknown,High,C176,I'm on your own with your bike train. Why was your tip by train? My train. Where are you?
AUD-177,Audio,Shooting / gun violence,Wisconsin,Unknown,High,C177,an ambulance to the south side Walmart immediately. What's going on? I have a man shot.
AUD-178,Audio,Shooting / gun violence,"Ypsilanti County, Michigan",Unknown,High,C178,"Remember to go to the office right now, and see you next time. Bye bye. You shot?"
AUD-179,Audio,Burglary / robbery / intruder,"Valinda, California",Unknown,High,C179,I'm happy. I didn't do that one day and I think someone's trying to come in.
AUD-180,Audio,Homicide / death investigation,"Romulus, Michigan",Unknown,High,C180,I need a new grade bill to please I don't care. The 15 to 6 12.
AUD-181,Audio,Stabbing / assault,Illinois,Unknown,High,C181,"We have a, I think we have a dead person in here. Okay. I don't know what happens."
AUD-182,Audio,Burglary / robbery / intruder,Ohio,Unknown,High,C182,I'm just the one that brought the US bank and I just need to be sure to turn myself in.
AUD-183,Audio,Child welfare / unattended child,"Hartford, Connecticut",Unknown,Medium,C183,Why you? I'm the emergency hotline. Who are you?
AUD-184,Audio,Domestic disturbance,North Carolina,Unknown,Medium,C184,It's a business. I believe it's been robbed. What's the name of the business? Flying Biscuits.
AUD-185,Audio,Shooting / gun violence,Ohio,Unknown,High,C185,"What is your emergency? Hi, my name is Nikki. I'm the manager of the McDonalds. I'm very intrigued. Yeah. There's a woman here so she has a-"
AUD-186,Audio,Traffic collision,"Gainesville, Florida",Unknown,Medium,C186,"I think we are in the 75th, I 75th. Yes, I do."
AUD-187,Audio,Shooting / gun violence,North Carolina,Unknown,High,C187,Something is going on. Do you know the house number?
AUD-188,Audio,Stabbing / assault,Illinois,Unknown,High,C188,"One. Thank you. Blue drone. We have blue. Okay, I'm sorry you have white."
AUD-189,Audio,Burglary / robbery / intruder,Florida,Unknown,High,C189,emergency. My focus is on the address. What's the area.
AUD-190,Audio,Homicide / death investigation,"Sarasota County, Florida",Unknown,High,C190,We're going to be home. We're just like told us all about the health.
AUD-191,Audio,Shooting / gun violence,Oregon,Unknown,High,C191,Have you gone? I rock somebody downtown.
AUD-192,Audio,Burglary / robbery / intruder,Utah,Unknown,High,C192,"Um, we have somebody. Sorry. Sorry."
AUD-193,Audio,Burglary / robbery / intruder,Michigan,Unknown,High,C193,I think somebody is working in the house. We just came home from school and put our jobs on. We really scared.
AUD-194,Audio,Medical emergency,Ohio,Unknown,High,C194,I always offer guys my mom's on the board.
AUD-195,Audio,Shooting / gun violence,"Hillsborough County, Florida",Unknown,High,C195,emergency. I'll just shot my wife. Can you tell me the address that you're at?
AUD-196,Audio,Shooting / gun violence,Oklahoma,Unknown,High,C196,I think we need to place at the Walmart Super Center on campus Kobe. That's what we got.
AUD-197,Audio,Burglary / robbery / intruder,Oklahoma,Unknown,High,C197,"Yeah, I need to pull it with a 963 history six tree or somebody in the house of a for a blow."
AUD-198,Audio,Traffic collision,Colorado,Unknown,Medium,C198,I'm one 19 and counting on one we just saw a plane go down.
AUD-199,Audio,Traffic collision,Colorado,Unknown,Medium,C199,"I'll plain just, uh, clash. Okay, you said three miles south of Union Reservoir?"
AUD-200,Audio,Missing person / abduction,Ohio,Unknown,Medium,C200,I know there's an umbrella on the TV for this look boy. Okay. And there is a young man.
AUD-201,Audio,Traffic collision,"Raymond, Wisconsin",Unknown,Medium,C201,I will just witness the collection and on the in the talk down.
AUD-202,Audio,Traffic collision,"7 mile fair in Highway, Wisconsin",Unknown,Medium,C202,There's a horrible accident on 7 mile fair in Highway 94.
AUD-203,Audio,Traffic collision,"Raymond, Wisconsin",Unknown,Medium,C203,"Hi, there was a accident. Are we just witnessed three cars just in slow motion?"
